Title,Tele,Email,Web,Addy,Poblacion,Type
Alonso-Sosa,work: +34 928430530,info@alonso-sosa.com,http://www.alonso-sosa.com/,"1, Calle Sor Ana, Santa Brígida, Spain",Archinect,Architecture / Design Firm,
Andrusskiy Design,cell: +79788214166,andrusskiy@gmail.com,https://architizer.com/firms/andrusskiy-design/,x,Archinect,Architecture / Design Firm,
Bioarkiteco,cell: 676151914 / http://www.bioarkiteco.com/habitatge-de-tapia-a-martorelles.html / http://www.bioarkiteco.com/escola-bressol-puacuteblica.html / http://www.bioarkiteco.com/mur-de-tapia-per-a-celler-al-priorat.html,miquel@ecoarquitectura.info,http://www.ecoarquitectura.info//ecoarq/wp-content/themes/diaporama/index.html,x,Archinect,Architecture / Design Firm,
D . a r k,cell: 00393470578445,info@darkrender3d.com,http://www.darkrender3d.com/,x,Archinect,Architecture / Design Firm,
DISEÑO&ARQUITECTURA,x,info@disenoiarquitecturaestudio.com,https://architizer.com/firms/modular-homes-tech/,"Rúa Manuel Azaña, A Coruña, Spain",Archinect,Architecture / Design Firm,
Estudi Alfa arquiectes slp,x,x,http://www.estudialfa.com/,x,Archinect,Architecture / Design Firm,
DAVIDE GROPPI,x,x,https://architizer.com/firms/davide-groppi/,x,Archinect,Architecture / Design Firm,
RUE Space,x,x,https://architizer.com/firms/rue-space/,x,Archinect,Architecture / Design Firm,
irori arquitectura,x,info@irori.es,http://www.irori.es,"14, Rúa do Ecuador, Vigo, Spain",Archinect,Architecture / Design Firm,
mjv arquitectos,work: +34 955 82 42 68,estudio@mjvarquitectos.com,https://mjvarquitectos.com/,"2, Plaza Cardenal Spinola, El Saucejo, Spain",Archinect,Architecture / Design Firm,
LIQE arquitectura,work: 986470726,info@liqe.es,http://www.liqe.es,x,Archinect,Architecture / Design Firm,
Pepa Diaz Arquitecta,work: +34 606512526,pepadiazarquitecta@gmail.com,http://www.pepadiazarquitecta.es,"Murcia, Spain",Archinect,Architecture / Design Firm,
inaki leite design,cell: +44 (0) 7403086430 / work: +44 (0) 2034056820,inaki@inakileite.com,http://inakileite.com/,"Greater London, England, United Kingdom",Archinect,Architecture / Design Firm,
rubial·sanchez,x,arquitectos@rubial-sanchez.com,http://rubial-sanchez.com/,"Madrid, Spain",Archinect,Architecture / Design Firm,
jle arquitrectos,work: +34 971724962 / http://www.jle.de,info@jle.de,http://www.jle.de/,x,Archinect,Architecture / Design Firm,
Esculpir el Aire / José Ángel Ruiz Cáceres,x,esculpirelaire@ctaa.net,http://esculpirelaire.com/,"31, Avenida Juan Sanchis Candela, Alicante, Spain",Archinect,Architecture / Design Firm,
Est&Saton,cell: +34 669221746,estsaton@gmail.com,http://estsatonenparalelo.wordpress.com/,"Madrid, Spain",Archinect,Architecture / Design Firm,
domniu,x,fernando.domniu@gmail.com,https://architizer.com/firms/domniu/,x,Archinect,Architecture / Design Firm,
Estudio de Arquitectura e Ingeniería Mirtolini,cell: 0034-663718740,massimo@eaimirtolini.com,http://www.eaimirtolini.com/,"16, Carrer d'Àngel Guimerà, Sant Just Desvern, Spain",Archinect,Architecture / Design Firm,
Ian Thompson Architect,work: 020 71003923,info@ianthompsonarchitect.com,http://ianthompsonarchitect.com/,"London, United Kingdom",Archinect,Architecture / Design Firm,
dzerostudio_architectes sprl,work: + 32 496833060,info@dzerostudio.com,http://www.dzerostudio.com/,"Brussels, Belgium",Archinect,Architecture / Design Firm,
DISEV ARQUITECTURA,work: 955 76 66 89 / cell: 635507428,FSANCHEZ@DISEVARQUITECTURA.COM,https://architizer.com/firms/francisco-sanchez-olivares/,x,Archinect,Architecture / Design Firm,
Reyes Castellano interiores,x,x,https://architizer.com/firms/reyes-castellano-interiores/,x,Archinect,Architecture / Design Firm,
HB Architecture & Design,x,x,https://architizer.com/firms/hb-architecture-design/,x,Archinect,Architecture / Design Firm,
GLORIA GONZALEZ,x,x,https://architizer.com/firms/glo_-interior-design/,x,Archinect,Architecture / Design Firm,
FerMan architects,x,x,https://architizer.com/firms/ferman-architects/,x,Archinect,Architecture / Design Firm,
JOSE LUIS GUILLEN ARQUITECTOS,x,x,http://www.olberten.es/,"Valencia, Spain",Archinect,Architecture / Design Firm,
TUAN&CO. Arquitectura,x,info@tuanandco.com,http://www.tuanandco.com/,"Marbella, Spain",Archinect,Architecture / Design Firm,
Tabuenca & Leache,work: +34 948 248 353 / http://www.tabuenca-leache.com,arquitectos@tabuenca-leache.com,http://www.tabuenca-leache.com/,"34, Calle Felipe Gorriti, Pamplona, Spain",Archinect,Architecture / Design Firm,
valls|musquera arquitectos,x,x,https://architizer.com/firms/vallsmusquera-arquitectos/,x,Archinect,Architecture / Design Firm,
Raul Garcia Studio,x,x,https://architizer.com/firms/raul-garcia-studio/,x,Archinect,Architecture / Design Firm,
Vladys Zakirov,x,zakirov.work@gmail.com,http://www.zakirov.org,"Valencia, Spain",Archinect,Architecture / Design Firm,
arqbag,x,x,https://architizer.com/firms/arqbag/,x,Archinect,Architecture / Design Firm,
Arturo Sanz,work: 699346748,fran@acontrapeu.com,http://www.gradolisanz.acontrapeu.com/,"10, Carrer d'Alegret, València, Spain",Archinect,Architecture / Design Firm,
Juan Pedro Alias Arquitecto,x,juanpedroaliash@gmail.com,https://architizer.com/firms/juan-pedro-alias-arquitecto/,x,Archinect,Architecture / Design Firm,
NSA arquitectos,x,x,https://architizer.com/firms/nsa-arquitectos/,x,Archinect,Architecture / Design Firm,
Patrick Genard & Asociados,work: +34 93 511 14 60,info@patrickgenard.com,https://www.patrickgenard.com/,"46, Carrer de Zamora, Barcelona, Spain",Archinect,Architecture / Design Firm,
Amarillocromo,work: 645 474 760 / work: 648 024 427,amarillocromo@amarillocromo.com,https://www.amarillocromo.com/,x,Archinect,Architecture / Design Firm,
Neoblock,x,x,http://neoblockmodular.com,x,Archinect,Architecture / Design Firm,
AEH SL,x,x,https://architizer.com/firms/aeh-sl/,x,Archinect,Architecture / Design Firm,
ANNA PODIO,x,info@annapodio.com,http://annapodio.com/,"44, Carrer de Ramon y Cajal, Barcelona, Spain",Archinect,Architecture / Design Firm,
COLECTIVO DU,x,hola@colectivodu.es,http://www.colectivodu.es/,x,Archinect,Architecture / Design Firm,
Gaab Arquitectes,cell: +34 639 701 252 ,j.aurell@gaab.cat,http://www.gaab.cat/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
Jaime Sepulcre Arquitecturas,work: 965 44 08 68 / cell: 617466136,jaimesepulcrebernad@gmail.com,http://www.jaimesepulcrearquitecturas.com/,"2, Avinguda de la Llibertat, Elx, Spain",Archinect,Architecture / Design Firm,
Tintorera,work: 0034626383603,info@tintorera.net,https://architizer.com/firms/tintorera/,"Xàbia, Spain",Archinect,Architecture / Design Firm,
genovevacarrionruiz architecture,cell: 0034660093597,genovevacarrionruiz@gmail.com,http://genovevacarrionruiz.com/,"Passeig de Sant Joan, Barcelona, Spain",Archinect,Architecture / Design Firm,
m03 ARQUITECTURA+INGENIERÍA,x,x,http://moracamacho.tk/,"Ceuta, Spain",Archinect,Architecture / Design Firm,
projecte.aiRe,x,x,https://architizer.com/firms/projecteaire/,x,Archinect,Architecture / Design Firm,
Edra arquitectura km0,work: +00 34 630726062,estudio@edraculturaynatura.com,http://www.edraculturaynatura.com/,"6, Avenida Duque de Bivona, Ayerbe, Spain",Archinect,Architecture / Design Firm,
JFGS / José Francisco García-Sánchez,x,jf.gs@upm.es / josefrancisco@coaalmeria.com / ig-badge-view-sprite-24@2x.png,http://www.jfgs.es/,"Almería, Spain",Archinect,Architecture / Design Firm,
Antonio Huerta Arquitectos,cell: 0034699990188 / work: 0034971313924,manuel@tonihuertaarquitectos.es,http://www.antoniohuertaarquitectos.com/,"Ibiza, Spain",Archinect,Architecture / Design Firm,
Tagarro-De Miguel Arquitectos,https://tagarrodemiguelarquitectos.es/,x,http://tagarrodemiguelarquitectos.es/,"Asturias, Spain",Archinect,Architecture / Design Firm,
VelezCarrascoArquitecto,cell: 0034628948552,info@velezcarrascoarquitecto.com,http://www.velezcarrascoarquitecto.com/,"Palafrugell, Spain",Archinect,Architecture / Design Firm,
Alé estudio,work: 605 59 04 94,equipo@ale-estudio.com,http://ale-estudio.com,"1, Plaza de los Mostenses, Madrid, Spain",Archinect,Architecture / Design Firm,
Artigas Arquitectes,work: 0034 93 774 01 31,info@artigasarquitectes.com,http://www.artigasarquitectes.com/,"Martorell, Spain",Archinect,Architecture / Design Firm,
"Buildworks, Inc.",x,x,https://architizer.com/firms/buildworks-inc/,x,Archinect,Architecture / Design Firm,
Malodelapeli,x,x,https://architizer.com/firms/malodelapeli/,x,Archinect,Architecture / Design Firm,
Modulo12,cell: 0034 678531167 / fax: 0034 913205080 / work: 0034 914232430,jpalomo@modulo12.org,http://www.modulo12.org/,"22, Calle Doctor Zamenhof, Madrid, Spain",Archinect,Architecture / Design Firm,
N+A ARQUITECTOS      nuria ruiz acosta/alejandro-s. garoz pérez,work: 0034 625721008,alejandro@na-arquitectos.eu,http://www.na.arquitectos.eu,x,Archinect,Architecture / Design Firm,
Art-quitectura Charlie Díaz,x,info@art-quitectura.com,http://www.art-quitectura.com/,"Madrid, Spain",Archinect,Architecture / Design Firm,
arquitectura SEN MÁIS,fax: 034 - 988221664 / work: 034 - 988221664,arquitectura@senmais.es,http://www.senmais.es,x,Archinect,Architecture / Design Firm,
.,x,x,https://architizer.com/firms/eje-arquitectos/,x,Archinect,Architecture / Design Firm,
Estudio 123,x,x,https://architizer.com/firms/estudio-123/,x,Archinect,Architecture / Design Firm,
RJArquitecte,x,x,https://architizer.com/firms/rjarquitecte/,x,Archinect,Architecture / Design Firm,
ABR ARQUITECTOS,fax: +914310189 / cell: +34617322385 / work: +34917812157,abrarquitectos@abrarquitectos.com,http://www.abrarquitectos.com/,"Madrid, Spain",Archinect,Architecture / Design Firm,
ANGULO ARQUITECTOS,x,x,https://architizer.com/firms/angulo-arquitectos/,x,Archinect,Architecture / Design Firm,
Ad-hoc,fax: +34 968298686 / work: +34 968274278,info@adhocmsl.com,http://www.adhocmsl.com/,"Murcia, Spain",Archinect,Architecture / Design Firm,
Architect Daniel Trujillano,cell: +34 627812076,info@arquitectotrujillano.com,http://interior-design-training.blogspot.com.es/,"Marbella, Spain",Archinect,Architecture / Design Firm,
Construcciones Alabort,x,x,https://architizer.com/firms/construcciones-alabort/,x,Archinect,Architecture / Design Firm,
Crux Arquitectos,cell: +34 606934769,info@cruxarquitectos.com,http://www.cruxarquitectos.com/,"Requena, Spain",Archinect,Architecture / Design Firm,
DesignZone,x,x,https://architizer.com/firms/designzone/,x,Archinect,Architecture / Design Firm,
EPB42 ARQUITECTURA Y PLANEAMIENTO,work: 0034 - 981919243,info@epb42.com,http://www.epb42.com/,"A Coruña, Spain",Archinect,Architecture / Design Firm,
ESTUDIO ROBLE,work: 0034 696992180,info@estudioroble.com,http://www.estudioroble.com/,"4, Calle María Cristina, Gijón, Spain",Archinect,Architecture / Design Firm,
Estudio DReam,work: +34961000201 / cell: +34691693366,info@estudiodream.es,http://www.estudiodream.es/,"Valencia, Spain",Archinect,Architecture / Design Firm,
Fraile+Jordán. Arquitectos,x,x,https://architizer.com/firms/frailejordan-arquitectos/,x,Archinect,Architecture / Design Firm,
Jesús Aparicio Estudio de Arquitectura,work: (0034) 91 5760796,estudio@jesusaparicio.net,http://www.jesusaparicio.net,x,Archinect,Architecture / Design Firm,
LOdiseñaLO,x,x,https://architizer.com/firms/lodisenalo/,x,Archinect,Architecture / Design Firm,
MC_arch in&out design,x,x,https://architizer.com/firms/mc_arch-inout-design/,x,Archinect,Architecture / Design Firm,
Manuel Cerdá Pérez,x,x,https://architizer.com/firms/manuel-cerda-perez/,x,Archinect,Architecture / Design Firm,
Rural Arquitectura,x,cavendanom@gmail.com,http://ruralarquitectura.com/,"EX, Spain",Archinect,Architecture / Design Firm,
costacalsamiglia arquitecte,work: * 34 933 42 49 44,guim@costacalsamiglia.com,https://architizer.com/firms/costacalsamiglia-arquitecte/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
default,x,x,https://architizer.com/firms/default/,x,Archinect,Architecture / Design Firm,
