Title,Tele,Email,Web,Addy,Poblacion,Type,Contact Source
IAM architectes,cell: 0033.677.965.001 / work: 0033.561.891.231,contact@iamarchitectes.com,http://www.architectes.org/iamarchitectes,"86, Rue des Amidonniers, Toulouse, France",x,Architecture / Design Firm,Architizer
eric santos architecture ,x,x,http://www.ericsantos.fr/,"Grimaud, France",x,Architecture / Design Firm,Architizer
vGHcompany,x,contact@vghcompany.com,http://www.vghcompany.com/,"Marignane, France",x,Architecture / Design Firm,Architizer
Arthur Lapeyrère Architecte,x,contact@arthurlapeyrere.com,http://www.arthurlapeyrere.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Gregoire Maisondieu Architecture & Interior Design,https://www.gregoiremaisondieu.com/,contact@gregoiremaisondieu.com,https://www.gregoiremaisondieu.com/,"Rabat, Morocco",x,Architecture / Design Firm,Architizer
Atelier blam,work: +33 9 50 02 57 59,contact@bl-am.fr,http://bl-am.fr/en/,"23, Boulevard de Chantenay, Nantes, France",x,Architecture / Design Firm,Architizer
COSA - Colboc Sachet architectures,x,x,http://www.cosa-paris.com,"Paris, France",x,Architecture / Design Firm,Architizer
AJSA,x,x,https://architizer.com/firms/ajsa/,"Poitiers, France",x,Architecture / Design Firm,Architizer
BAMAA Architectes,work: +33 4 82 53 87 99‬,contact@bamaa.fr,http://bamaa.fr,"16, Rue Casimir Périer, Lyon, France",x,Architecture / Design Firm,Architizer
GESTIN Architectes,work: +33.(0)9.53.54.39.55,gestinarchitect@hotmail.com,http://www.architectes.org/gestinarchitects,"Valencia, Spain",x,Architecture / Design Firm,Architizer
Sam architecture Paris,work: + 33 9 54 43 27 10,contact@sam-architecture.com,http://www.sam-architecture.com/,"Paris, France",x,Architecture / Design Firm,Architizer
louis paillard architecte,x,agence@louispaillardarchitecte.com,https://architizer.com/firms/louis-paillard-architecte/,"55, Rue des Prairies, Paris, France",x,Architecture / Design Firm,Architizer
AS architectes,work: 0033 (1)44 55 34 80,info@as-architecture.com,http://as-architecture.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Javarchitecture,work: 0033615447240 / http://javarchitecture.fr/,florian.levy@javarchitecture.fr,http://javarchitecture.fr/,"66, Rue des Cascades, Paris, France",x,Architecture / Design Firm,Architizer
Carré Noir,work: +33 157328700,carrenoir@carre-noir.fr,http://www.behance.net/carre-noir,"24, Rue Salomon De Rothschild, Suresnes, France",x,Architecture / Design Firm,Architizer
ACAU ,work: 0033 (0)6 47 39 72 59,so@acau-architectes.com,http://www.acau-architectes.com/,"11, Boulevard Longchamp, Marseille, France",x,Architecture / Design Firm,Architizer
ACT LIGHTING DESIGN,work: +32 2 340 60 30 ,info@actlightingdesign.com,http://www.actlightingdesign.com/,"London, United Kingdom",x,Architecture / Design Firm,Architizer
ESKIS Paysagistes,work: 0033411932181,contact@eskis.org,http://www.eskis.org/,"Montpellier, France",x,Architecture / Design Firm,Architizer
SEINE DESIGN ,work: +33 (0)1.45.50.30.53,seinedesign@ronzatti.com,http://www.ronzatti.com/,"Port de la Rapée, Paris, France",x,Architecture / Design Firm,Architizer
Vincent Coste architecte,work: 0033498126533,x,https://architizer.com/firms/vincent-coste/,"32, Impasse des Conquettes, Saint-Tropez, France",x,Architecture / Design Firm,Architizer
Klest Pango,x,klest.pango@gmail.com,https://architizer.com/firms/klest-pango/,"Montpellier, France",x,Architecture / Design Firm,Architizer
ACAU Architectes,x,contact@acau-architectes.fr,http://www.acau-architectes.fr/,"Rouen, France",x,Architecture / Design Firm,Architizer
MYSPACEPLANNER,x,x,http://myspaceplanner.fr/,"Nancy, France",x,Architecture / Design Firm,Architizer
Studio Vincent Eschalier,work: +33 (0)9 82 55 68 13,x,http://vincenteschalier.com/,"Paris, France",x,Architecture / Design Firm,Architizer
WEBER + KEILING Architectes,work: +33388750534,weber.keiling@noos.fr,http://www.weber-keiling.com/,"37, Boulevard de Nancy, Strasbourg, France",x,Architecture / Design Firm,Architizer
Atelier Jacqueline Osty & associés,x,x,http://www.osty.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
Liliana Rubio Pardo,x,paralelaink@gmail.com,http://lrp.allyou.net/,"Saint-Jean-de-Luz, France",x,Architecture / Design Firm,Architizer
joseph almudever,work: 0534602810,afa@afa.archi,http://www.afa.archi/,France,x,Architecture / Design Firm,Architizer
Atelier du Rouget Simon Teyssou & associés,work: +33471469024,courrier@atelierarchitecture.fr,http://www.atelierarchitecture.fr/,"Le Rouget, France",x,Architecture / Design Firm,Architizer
MIAM Architecture,x,b.l.architectes@gmail.com,http://www.miamarchitecture.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
Franck Devigne + Architectes,x,x,http://www.docksarchitecture.fr/,"33, Quai Riondet, Vienne, France",x,Architecture / Design Firm,Architizer
Projet 310,work: +33561221846,x,http://lavigie.eu/,"2, Avenue de Lombez, Toulouse, France",x,Architecture / Design Firm,Architizer
Planet Studio,x,planetstudio.archi@gmail.com,http://www.planet-studio.fr/,"Lavérune, France",x,Architecture / Design Firm,Architizer
Ecotech Architecture,work: +33652314317,contact@ecotech-architecture.com,http://www.ecotech-architecture.com/,"63, Rue Yves Kermen, Boulogne-Billancourt, France",x,Architecture / Design Firm,Architizer
Bismut & Bismut ,x,x,http://bismut.com/main.php,"Paris, France",x,Architecture / Design Firm,Architizer
Studio Robert Stadler,work: +33 1 48 74 59 81,info@robertstadler.net,http://www.thewhatness.net/,"Paris, France",x,Architecture / Design Firm,Architizer
Cabinet Philippe Lavigne,x,x,https://architizer.com/firms/cabinet-philippe-lavigne/,"La Rochelle, France",x,Architecture / Design Firm,Architizer
Atelier dada,work: 00917930620431 / work: 0033973194060,info@atelierdada.com,http://www.atelierdada.com/,"Ahmedabad, India",x,Architecture / Design Firm,Architizer
Giulia Agostinelli,x,giulia.agostinelli@gmail.com,http://www.giuliaagostinelli.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Atelier Ferret Architectures,work: +33 5 57 77 18 25,archiferret@archiferret.eu,http://www.archiferret.eu/,"17, Rue du Commandant Cousteau, Bordeaux, France",x,Architecture / Design Firm,Architizer
Solenne Brugiroux Architect,work: +33642064616,contact@solennebrugiroux.com,http://www.solennebrugiroux.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Pascal Dalous Architecte,work: 0140059385,d.dalous@dalous-archi.fr,http://www.dalous-archi.fr/,"48, Rue Pajol, Paris, France",x,Architecture / Design Firm,Architizer
BOM ARCHITECTURE,x,studio@bom-architecture.com,http://bom-architecture.com/,"43, Rue Beaubourg, Paris, France",x,Architecture / Design Firm,Architizer
La Nouvelle Agence,x,contact@la-nouvelle-agence.com,http://la-nouvelle-agence.com/,"2, Rue Marc Sangnier, Bordeaux, France",x,Architecture / Design Firm,Architizer
Gelin Lafon,x,agence@gelin-lafon.com,http://www.gelin-lafon.com/,"Paris, France",x,Architecture / Design Firm,Architizer
JKLN Achitecte,cell: +0033 06 98 36 12 84 / work: +0033 06 98 36 12 84,contact@jkln.fr,http://www.jkln.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
LIAO,x,contact@jiahaoleow.com,http://www.jiahaoleow.com/,"Paris, France",x,Architecture / Design Firm,Architizer
racolta chapela architectures,work: 0033477305956,x,http://rc-architectures.com/,"Saint-Étienne, France",x,Architecture / Design Firm,Architizer
bonte & migozzi architectes,cell: 00 33 06 84 95 70 17,bonte.migozzi@wanadoo.fr,http://bonte-migozzi.com/,"Marseille, France",x,Architecture / Design Firm,Architizer
Marc Mimram,work: +33(0)1 43 44 91 19,agence@mimram.com,http://www.mimram.com/,"21, Rue de la Fontaine au Roi, Paris, France",x,Architecture / Design Firm,Architizer
Faré d'Art et d'Architecture,cell: 0607380469,fareaa@sfr.fr,https://architizer.com/firms/fare-dart-et-darchitecture/,"Garches, France",x,Architecture / Design Firm,Architizer
Thibaudeau Architecte,x,x,http://www.thibaudeau-architecte.com/,"Paris, France",x,Architecture / Design Firm,Architizer
François Combaud,work: +33682424282,combo.design@me.com,https://architizer.com/firms/francois-combaud/,"Montpellier, France",x,Architecture / Design Firm,Architizer
DRATLER DUTHOIT,work: +33 (0)3 67 98 18 25,hello@dratlerduthoit.com,https://dratlerduthoit.com/,"17, Rue de Rosheim, Strasbourg, France",x,Architecture / Design Firm,Architizer
Hubert & Roy Architectes et Associés,work: 0033155432500,hubert.roy@orange.fr,http://hubert-roy-architectes.fr/,"17, Rue des Gobelins, Paris, France",x,Architecture / Design Firm,Architizer
Faussurier Lefebvre Architectes,cell: 0647849508,faussurierlefebvrearchitectes@gmail.com,http://faussurierlefebvrearchitectes.fr/,"Roanne, France",x,Architecture / Design Firm,Architizer
areadesign,x,contact@areadesign.fr,http://www.areadesign.fr/,"Lille, France",x,Architecture / Design Firm,Architizer
aotu architecture office ltd.,work: +86 (021) 322 31 0 31,office@aotu.eu,http://www.aotu.eu,"Lyon, France",x,Architecture / Design Firm,Architizer
ETIENNE FAMIN ARCHITECTE,fax: +33 1 45 85 34 05 / work: +33 1 45 85 34 05,contact@etiennefamin.com,http://www.etiennefamin.com/,"7, Rue Monte Cristo, Paris, France",x,Architecture / Design Firm,Architizer
