Title,Tele,Email,Web,Addy,Contact Source,Type,More Info,Lujo
CDE ARQUITECTURA,work: 917 54 55 96,cdearq@arquired.es,http://www.cdearquitectura.com/,"26, Calle de San Romualdo, Madrid, Spain",Architizer,Architecture / Design Firm,,False
Jiménez y Bazán Arquitectos SLP,work: +0034 922850175,eea@elestudioarquitectos.es,http://www.elestudioarquitectos.es/,"Guía de Isora, Spain",Architizer,Architecture / Design Firm,,False
TARRUELLA TRENCHS STUDIO,work: +34 933 622 264,studio@tarruellatrenchs.com,http://tarruellatrenchs.com/en/projects-all/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Modolell-Alberch SCP,work: +33 972510794,info@estudi3arquitectura.net,http://www.estudi3arquitectura.net/,"Figueres, Spain",Architizer,Architecture / Design Firm,,False
eNArch.info,work: +359 (896) 78-87-60  / work: +7 (967) 376-62-88  / work: +34 (620) 91-91-27,sales@enarch.info,http://www.enarch.info/,"Ulyanovsk, Russia",Architizer,Architecture / Design Firm,,False
COSTA FIERROS ARCHITECTS,work: +34 954 213 676 / work: +34 699 943 104 / fax: +34 954 213 676,estudio@costafierros.com,http://www.costafierros.com/,"7, Calle Torres, Seville, Spain",Architizer,Architecture / Design Firm,,False
estudio inclán_arquitectos,cell: +34 615359322 / +1 6045005649,info@estudioinclan.com,http://estudioinclan.com/,Spain,Architizer,Architecture / Design Firm,,False
Tabuenca & Leache,work: +34 948 248 353 / http://www.tabuenca-leache.com,arquitectos@tabuenca-leache.com,http://www.tabuenca-leache.com/,"34, Calle Felipe Gorriti, Pamplona, Spain",Architizer,Architecture / Design Firm,,True
Vaquero arquitectos,work: 00 34 91 702 3885 / cell: 0034 663 11 22 95,jvaquero@vaqueroarquitectos.com,http://www.vaqueroarquitectos.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
JOSE LUIS GUILLEN ARQUITECTOS,x,x,http://www.olberten.es/,"Valencia, Spain",Architizer,Architecture / Design Firm,,True
Producto Camarena,cell: 0034 699731769,productocamarena@gmail.com,http://productocamarena.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Vladys Zakirov,x,zakirov.work@gmail.com,http://www.zakirov.org,"Valencia, Spain",Architizer,Architecture / Design Firm,,True
HIKA arquitectura y urbanismo,x,x,http://www.hika.eus,"Bilbao, Spain",Architizer,Architecture / Design Firm,,False
Patrick Genard & Asociados,work: +34 93 511 14 60,info@patrickgenard.com,https://www.patrickgenard.com/,"46, Carrer de Zamora, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
SMP Arquitectos,work: +34 952 122 459 / work: +34 952 122 464,estudio@smparquitectos.com,http://www.smparquitectos.com/,"Málaga, AL, Spain",Architizer,Architecture / Design Firm,,False
Mas Millet Arquitectos,work: 963 52 58 91,info@masmillet.com,https://masmillet.com,"5, Carrer de Jorge Juan, València, Spain",Architizer,Architecture / Design Firm,,False
Arturo Sanz,work: 699346748,fran@acontrapeu.com,http://www.gradolisanz.acontrapeu.com/,"10, Carrer d'Alegret, València, Spain",Architizer,Architecture / Design Firm,,True
e1d design light studio,work: +(34) 617560360,mexico@e1d.eu,http://www.e1d.eu/,"Aguascalientes, Mexico",Architizer,Architecture / Design Firm,,False
Polo Estudio,work: +34944644451,info@poloestudio.com,https://www.poloestudio.com/,"Bilbao, Spain",Architizer,Architecture / Design Firm,,False
GESTIN Architectes,work: +33.(0)9.53.54.39.55,gestinarchitect@hotmail.com,http://www.architectes.org/gestinarchitects,"Valencia, Spain",Architizer,Architecture / Design Firm,,False
+o+a arquitectes,work: 931 065 716 / http://www.oa-arquitectes.com/,hola@oa-arquitectes.com,http://www.oa-arquitectes.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
linatoro.arch,x,x,http://www.linatoro.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Sastre & Sastre,http://www.sastreandsastre.com/,estudio@sastreandsastre.com,http://www.sastreandsastre.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
José Manuel Sanz Arquitectos,work: 0034 913837372,estudio@josemanuelsanz.com,http://www.josemanuelsanz.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
EstudiHac,work: +34 963 219 622 / http://www.estudihac.com/index.php,estudihac@estudihac.com,http://www.estudihac.com/index.php,"7, Carrer del Túria, València, Spain",Architizer,Architecture / Design Firm,,False
EAU arquitectura,work: +34986211397,oscar@eauarquitectura.com,http://www.eauarquitectura.com,"Vigo, Spain",Architizer,Architecture / Design Firm,,False
Pablo Ruiz_Architect_Logroño,work: 34 941235265,pabloruiz@coar.es,http://pablo-ruiz.es/,"Logroño, Spain",Architizer,Architecture / Design Firm,,False
CIDARK Pre-engineered Buildings,work: +34 943 227 602,info@cidark.com,http://www.cidark.com/,"San Sebastián, Spain",Architizer,Architecture / Design Firm,,False
Gabriel Gomera Studio,x,info@gabrielgomera.com,http://www.gabrielgomera.com/,"Shanghai, China",Architizer,Architecture / Design Firm,,False
ismo,x,info@ismoarquitectura.es,http://www.ismo-arquitectura.es/,"Málaga, Spain",Architizer,Architecture / Design Firm,,False
Gaab Arquitectes,cell: +34 639 701 252,j.aurell@gaab.cat,http://www.gaab.cat/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
JAAM sociedad de arquitectura,work: +34 944029654,web@jaam.es,http://www.jaam.es/projects,"Bilbao, Spain",Architizer,Architecture / Design Firm,,False
ANNA PODIO,x,info@annapodio.com,http://annapodio.com/,"44, Carrer de Ramon y Cajal, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
m03 ARQUITECTURA+INGENIERÍA,x,x,http://moracamacho.tk/,"Ceuta, Spain",Architizer,Architecture / Design Firm,,True
Jaime Sepulcre Arquitecturas,work: 965 44 08 68 / cell: 617466136,jaimesepulcrebernad@gmail.com,http://www.jaimesepulcrearquitecturas.com/,"2, Avinguda de la Llibertat, Elx, Spain",Architizer,Architecture / Design Firm,,True
genovevacarrionruiz architecture,cell: 0034660093597,genovevacarrionruiz@gmail.com,http://genovevacarrionruiz.com/,"Passeig de Sant Joan, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Tintorera,work: 0034626383603,info@tintorera.net,https://architizer.com/firms/tintorera/,"Xàbia, Spain",Architizer,Architecture / Design Firm,,True
Marco De Gregorio_Jan Henriksen Architect/S,x,x,http://www.marcodegregorio.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
JFGS / José Francisco García-Sánchez,x,josefrancisco@coaalmeria.com / jf.gs@upm.es / ig-badge-view-sprite-24@2x.png,http://www.jfgs.es/,"Almería, Spain",Architizer,Architecture / Design Firm,,True
Evvo retail,work: +34 938037792,info@evvo.org,http://www.evvo.org/,"16, Carrer Sant Domènec, Igualada, Spain",Architizer,Architecture / Design Firm,,False
Hermoso & Heimannsfeld arquitectos S.L.P.,work: 0034 918 569 534,artytech2@artytech2.es,http://www.artytech2.es/,"Hoyo de Manzanares, Spain",Architizer,Architecture / Design Firm,,False
SMMARQUITECTURA,work: 0034 620027278,info@smmarquitectura.com,http://www.smmarquitectura.com/,"Terrassa, Spain",Architizer,Architecture / Design Firm,,False
Nouran Concept Lighting,fax: +971 4 323 4670 / work: +971 4 323 4660,des@nouran.ae,http://www.nouran.ae/design-consultancy/,"Montevideo, Uruguay",Architizer,Architecture / Design Firm,,False
Edra arquitectura km0,work: +00 34 630726062,estudio@edraculturaynatura.com,http://www.edraculturaynatura.com/,"6, Avenida Duque de Bivona, Ayerbe, Spain",Architizer,Architecture / Design Firm,,True
mestres wage arquitectes slp,work: 00346677668,mwa@coac.net,http://www.mestreswage.com/,"49, Carrer de Martínez de la Rosa, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Antonio Huerta Arquitectos,cell: 0034699990188 / work: 0034971313924,manuel@tonihuertaarquitectos.es,http://www.antoniohuertaarquitectos.com/,"Ibiza, Spain",Architizer,Architecture / Design Firm,,True
Tagarro-De Miguel Arquitectos,https://tagarrodemiguelarquitectos.es/,x,http://tagarrodemiguelarquitectos.es/,"Asturias, Spain",Architizer,Architecture / Design Firm,,True
VelezCarrascoArquitecto,cell: 0034628948552,info@velezcarrascoarquitecto.com,http://www.velezcarrascoarquitecto.com/,"Palafrugell, Spain",Architizer,Architecture / Design Firm,,True
GES Arquitectos y Asociados,x,info@gesarquitectos.es,http://www.gesarquitectos.es/,"33, Calle del Pintor Murillo, Alcobendas, Spain",Architizer,Architecture / Design Firm,,False
Modulo12,cell: 0034 678531167 / fax: 0034 913205080 / work: 0034 914232430,jpalomo@modulo12.org,http://www.modulo12.org/,"22, Calle Doctor Zamenhof, Madrid, Spain",Architizer,Architecture / Design Firm,,True
Artigas Arquitectes,work: 0034 93 774 01 31,info@artigasarquitectes.com,http://www.artigasarquitectes.com/,"Martorell, Spain",Architizer,Architecture / Design Firm,,True
Alé estudio,work: 605 59 04 94,equipo@ale-estudio.com,http://ale-estudio.com,"1, Plaza de los Mostenses, Madrid, Spain",Architizer,Architecture / Design Firm,,True
Ravetllat Ribas arquitectes,work: (+34) 932 802 690,rqr@coac.net,http://www.ravetllatribas.com,"11, Rambla de Catalunya, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Art-quitectura Charlie Díaz,x,info@art-quitectura.com,http://www.art-quitectura.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
Molins Design,x,x,http://molinsdesign.com/es/,"17, Carrer de Maria Auxiliadora, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Roberto Duato landscape architecture,x,robertoduato@gmail.com,http://www.robertoduato.com/,"Valencia, Spain",Architizer,Architecture / Design Firm,,False
Ignacio Quemada Architects,fax: +34 943 32 27 01 / work: +34 943 32 27 01,estudio@ignacioquemadaarquitectos.com,http://www.ignacioquemadaarquitectos.com/en/,"Peña y Goñi Kalea, Donostia, Spain",Architizer,Architecture / Design Firm,,False
EPB42 ARQUITECTURA Y PLANEAMIENTO,work: 0034 - 981919243,info@epb42.com,http://www.epb42.com/,"A Coruña, Spain",Architizer,Architecture / Design Firm,,True
Coblonal Arquitectura,work: +34 93 218 09 99,info@coblonal.com,http://www.coblonal.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
URGARI,cell: +0034 605706411 / work: +0034 943224300,urgari@estudio-urgari.com,http://www.estudio-urgari.com/,"San Sebastián, Spain",Architizer,Architecture / Design Firm,,False
Architect Daniel Trujillano,cell: +34 627812076,info@arquitectotrujillano.com,http://interior-design-training.blogspot.com.es/,"Marbella, Spain",Architizer,Architecture / Design Firm,,True
ABR ARQUITECTOS,fax: +914310189 / cell: +34617322385 / work: +34917812157,abrarquitectos@abrarquitectos.com,http://www.abrarquitectos.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
Cimbra Arquitectos,x,cimbra@cimbraarquitectos.com,http://www.cimbraarquitectos.com/,Spain,Architizer,Architecture / Design Firm,,False
ESTARQ Studio,x,info@estarq.es,https://architizer.com/firms/estarq/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Oscar Caselles Arquitectura,work: +34 91 112 38 98,info@oscarcaselles.com,http://www.oscarcaselles.com/,"Tres Cantos, Spain",Architizer,Architecture / Design Firm,,False
ADMETLLER ARQUITECTURA,work: 0034 938168511,info@admetller.com,http://www.admetller.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Rural Arquitectura,x,cavendanom@gmail.com,http://ruralarquitectura.com/,"EX, Spain",Architizer,Architecture / Design Firm,,True
Fortes y Ballester Arquitectos,work: 34.959.356.821,juanfrancisco@fbarquitectos.com,http://www.fbarquiectos.com/blog,"San Juan del Puerto, Spain",Architizer,Architecture / Design Firm,,False
Paul Dieterlen Architecture,x,paul@pauldieterlen.com,http://www.pauldieterlen.com/,"Carrer del Doctor Sumsi, Valencia, Spain",Architizer,Architecture / Design Firm,,False
costacalsamiglia arquitecte,work: * 34 933 42 49 44,guim@costacalsamiglia.com,https://architizer.com/firms/costacalsamiglia-arquitecte/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Jose R. Zorita- Arquitectura Zeta S.L.,work: 0034927215539,jrzorita@gmail.com,http://www.arquitecturazeta.com/,"Cáceres‎, Spain",Architizer,Architecture / Design Firm,,False
Ad-hoc,fax: +34 968298686 / work: +34 968274278,info@adhocmsl.com,http://www.adhocmsl.com/,"Murcia, Spain",Architizer,Architecture / Design Firm,,True
radarq.net,cell: 0034 663929293,info@radarq.net,http://www.radarq.net/,"Seville, Spain",Architizer,Architecture / Design Firm,,False
Borgos Pieper,x,info@borgospieper.com,http://www.borgospieper.com,"10, Passatge de Domingo, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
ag arquitectura sa,fax: +34911410144 / work: +34914237076,info@agarquitectura.com,https://agarquitectura.com,"95, Calle de Lagasca, Madrid, Spain",Architizer,Architecture / Design Firm,,False
ALARCON+ASOCIADOS,work: 34 950 93 98 01,11738alarcon@coam.es,http://alarconasociados.virb.com/,"Almería, Spain",Architizer,Architecture / Design Firm,,False
Marchitect.es,x,info@marchitect.es,http://www.marchitect.es/,Spain,Architizer,Architecture / Design Firm,,False
e70arquitectos,cell: 0034637828386,estudio@e70arquitectos.com,http://www.e70arquitectos.com/,"Calle Emperatriz Eugenia, Granada, Spain",Architizer,Architecture / Design Firm,,False
Salgado+Liñares Arquitectos,work: +34 981 88 32 39,info@sel-arquitectura.com,http://www.salgadoeliñares.com/,"Bertamiráns, Spain",Architizer,Architecture / Design Firm,,False
ESTUDIO ROBLE,work: 0034 696992180,info@estudioroble.com,http://www.estudioroble.com/,"4, Calle María Cristina, Gijón, Spain",Architizer,Architecture / Design Firm,,True
Estudio DReam,work: +34961000201 / cell: +34691693366,info@estudiodream.es,http://www.estudiodream.es/,"Valencia, Spain",Architizer,Architecture / Design Firm,,True
"Fornari + Rojas, Architects",work: +34.934.765.280,info@fornarirojas.com,http://www.fornarirojas.com/,"360, Avinguda Diagonal, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
QIDStudio,work: + 34 93 788 86 33,info@qidstudio.es,http://www.qidstudio.es/,"63, Carrer Volta, Terrassa, Spain",Architizer,Architecture / Design Firm,,False
LEParquitectura,work: +34 972 21 35 50,info@leparquitectura.cat,http://www.leparquitectura.cat/,"Girona, Spain",Architizer,Architecture / Design Firm,,False
NGE3D_arq,cell: +569 6965 3239,nge3darq@gmail.com,http://grnmundo3d.blogspot.com/,"21, Calle Suecia, San Pedro del Pinatar, Spain",Architizer,Architecture / Design Firm,,False
Crux Arquitectos,cell: +34 606934769,info@cruxarquitectos.com,http://www.cruxarquitectos.com/,"Requena, Spain",Architizer,Architecture / Design Firm,,True
acder24,https://www.facebook.com/cder24/,riano2424@hotmail.com,http://www.facebook.com/cder24/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Visual Army,x,info@visual-army.com,http://visual-army.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
International Hospitality Projects,work: +34913100777,comunicaciones@ihp-group.com,http://www.ihp-group.com,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Lafuente Silva Arquitectos,x,estudiolafuentesilva@gmail.com,https://www.lafuentesilva.com/,"Plasencia, Spain",Architizer,Architecture / Design Firm,,False
ROMAN IZQUIERDO BOULDSTRIDGE,+34 626468648,info@romanizquierdo.com,https://archinect.com/firms/cover/150156407/roman-izquierdo-bouldstridge,"Pg. Isabel ll, 6Barcelona, ES, 08003",Archinect,Architecture / Design Firm,,False
Juan Moya architecture,+34 958290521,info@juanmoya.com,http://www.juanmoya.com,"Plaza Isabel la Católica, 1, planta 4 oficina 3Granada, ES, 18014",Archinect,Architecture / Design Firm,,False
Rocamora Arquitectura,966 237 264,comunicacion@rocamoraarquitectura.com,http://www.rocamoraarquitectura.com,"c/ Gabriel Miró, 27 bajoElche, ES, 03201",Archinect,Architecture / Design Firm,,True
Nihil Estudio 360º Design,x,x,https://archinect.com/nihilestudio,"Valencia, ES",Archinect,Architecture / Design Firm,,False
pink intruder,+34-609609318,info@pinkintruder.com,http://www.pinkintruder.com,See all...,Archinect,Architecture / Design Firm,,False
LANDÍNEZ+REY architects [eL2Gaa],+34 915423254,estudio@landinez-rey.com,https://l2garquitectos.com,"calle de Balmes, 4 local-dchaMadrid, ES, 28010",Archinect,Architecture / Design Firm,,False
MESURA,934672190,admin@mesura.eu,http://mesura.eu,See all...,Archinect,Architecture / Design Firm,,True
luis vidal + architects,x,x,http://www.luisvidal.com/,www.luisvidal.com,Archinect,Architecture / Design Firm,,False
Miralles Tagliabue EMBT,+34 934125342,info@mirallestagliabue.com,http://www.mirallestagliabue.com,See all...,Archinect,Architecture / Design Firm,,False
Play-Time,0034 933 104 546,info@play-time.es,https://archinect.com/Play-Time,See all...,Archinect,Architecture / Design Firm,,False
SelgasCano,x,x,x,x,Archinect,Architecture / Design Firm,,False
LOTO archilab,x,job@lotoarchilab.com / contact@lotoarchilab.com,http://www.lotoarchilab.com,"Calle San Roque 3Madrid, ES, 28004",Archinect,Architecture / Design Firm,,False
404NF-A,+34 954 451 700,contact@404notfound.es,http://www.404NF-A.com,"calle gabriela sánchez aranda - 7Sevilla, ES, 41010",Archinect,Architecture / Design Firm,,False
Rafael de la-Hoz Arquitectos,+34 91 745 35 00,estudio@rafaeldelahoz.com,https://archinect.com/rafaeldelahoz_arquitectos,See all...,Archinect,Architecture / Design Firm,,False
08023 Architects,+34934173723,info@08023.es,http://www.08023.es,"Copèrnic 3, 1º-2Barcelona, ES, 08021",Archinect,Architecture / Design Firm,,False
ELC Arquitectos [Emilio López Cruz   Emilio López Ruiz de Salazar],34914456857,estudio@elc-arquitectos.com,http://www.elc-arquitectos.com,"Plaza del Conde del Valle Suchil, 10Madrid, ES, 28015",Archinect,Architecture / Design Firm,,False
Francisco Mangado & Associates,0034 948 276202,mangado@fmangado.com,https://archinect.com/firms/cover/40920362/francisco-mangado-associates,See all...,Archinect,Architecture / Design Firm,,False
Cuartoymitad Architecture & Landscape,+34 915221913,info@cuartoymitad.es,http://www.cuartoymitad.es,See all...,Archinect,Architecture / Design Firm,,False
COR & asociados,34965213929,cor@cor.cc,http://www.cor.cc/,"Pza Gabriel Miro, 18, 3, BAlicante, ES, 03001",Archinect,Architecture / Design Firm,,False
INDASTUDIOBCN,+34 660 346 600,info@indastudiobcn.com,http://www.indastudiobcn.com,"Pamplona Street - Vila OlimpicaBarcelona, ES, 08005",Archinect,Architecture / Design Firm,,False
GAYARRE infografia,(+34) 876 241 247,info@gayarre.eu,http://www.gayarre.eu,"Haendel, 21Zaragoza, ES, 50012",Archinect,Architecture / Design Firm,,False
A2arquitectos,0034 699939697,estudio@a2arquitectos.com,http://www.a2arquitectos.com/,"San Andres 16 2AMadrid, ES, 28004",Archinect,Architecture / Design Firm,,False
GANA Arquitectura,(+34) 951 393 763,info@galisteonavarro.com,http://www.ganaarquitectura.com/,"Calle Martínez Campos 16Entreplanta C+DMálaga, ES, 29001",Archinect,Architecture / Design Firm,,True
CMV Architects,+34 971 720 839,cmv@cmv-architects.com,http://www.cmv-architects.com,"C/ Carmen, 6Palma de Mallorca, ES, 07003",Archinect,Architecture / Design Firm,,True
SHIFTVIEW architecture,(34) 914319643,info@shiftview.net,http://www.shiftview.net,"c/ Velázquez, 53Madrid, ES, 28001",Archinect,Architecture / Design Firm,,False
SVArquitectura,00 34 93 342 47 62,s.vives@coac.net,http://www.santivives.com,See all...,Archinect,Architecture / Design Firm,,False
EXIT ARCHITECTS,913044718,exit@exit-architects.com,http://exit-architects.com,"FRANCISCO REMIRO 44, BJ DCHAMadrid, ES, 28027",Archinect,Architecture / Design Firm,,False
Estudio de Arquitectura NAOS,00 34 981 169 199,arquitecturanaos@gmail.com,http://www.naos.es,"plaza de charles darwin 3A Coruña, ES, 15172",Archinect,Architecture / Design Firm,,False
DNA Barcelona Architects,0034 935397566,marketing@dna-arq.com,http://www.dna-arq.com,"Gran Via de les Corts Catalanes 794 bajosBarcelona, ES, 08013",Archinect,Architecture / Design Firm,,False
GEA Architects,+0034 91 456 02 79,c.torres@geasl.net,http://www.geasl.net/,See all...,Archinect,Architecture / Design Firm,,False
ferrolan LAB,696762803,irene.antonijoan@ferrolan.com,http://wordpressen.ferrolan.com/,"carretera de terrassa, 125Rubí, ES, 08191",Archinect,Architecture / Design Firm,,False
MVCH architecture,x,x,http://www.mvch.es,"Narvaez 24Madrid, 28009",Archinect,Architecture / Design Firm,,False
Gerardo Hevia Romero,34 686 980 355,14197hevia@coam.es,http://www.facebook.com/pages/Blanco-Hevia-Arquitectura/256622484377687,"Ctra. Boadilla 109 1ºAMajadahonda, ES, 28220",Archinect,Architecture / Design Firm,,False
Xuklis Foundation,34686291371,nuria.molas@purple-mango.com,http://www.lacasadelsxuklis.org,"Barcelona, ES",Archinect,Architecture / Design Firm,,False
RTA-Office - Real Time Architecture,x,x,http://www.rta-office.com,www.rta-office.com,Archinect,Architecture / Design Firm,,False
JAVIER PRIETO ARCHITECTS,+34 976908625,estudio@javierprieto.eu,http://www.javierprieto.eu,"Maria Montessori 4, 2DZaragoza, ES, 50018",Archinect,Architecture / Design Firm,,False
[X.T]e·a d,(34)626386282,xte-ad@xte-ad.com,http://www.xtead.com,"Calle Alaba 16 3ºBarcelona, ES, 08005",Archinect,Architecture / Design Firm,,False
OPTA ARQUITECTOS,+3400916341399,info@optaarquitectos.com,http://www.optaarquitectos.com,"Madrid, ES",Archinect,Architecture / Design Firm,,False
ARQUITECTURIA,+34 872081719,arquitecturia@coac.net,http://www.arquitecturia.net,"rda pare claretGerona, ES",Archinect,Architecture / Design Firm,,False
judit aragones balboa,x,info@estudiodinamik.com,http://www.estudiodinamik.com,"Madrid, ES, 28039",Archinect,Architecture / Design Firm,,False
H ARQUITECTES,x,codisimple@gmail.com,http://www.harquitectes.com,See all...,Archinect,Architecture / Design Firm,,False
kutarq,x,info@kutarq.com / press@kutarq.com,http://kutarq.com/,"Valencia, ES",Archinect,Architecture / Design Firm,,False
MACA,x,x,http://www.macaestudio.es,See all...,Archinect,Architecture / Design Firm,,False
urbanarbolismo,34665493172,mail@urbanarbolismo.es,http://www.urbanarbolismo.es,"plaza Gabriel Miró nº18 3ºBAlicante, ES, 03001",Archinect,Architecture / Design Firm,,False
AQSO arquitectos office,0034 917710294,office@aqso.net,http://www.aqso.net,"Apt. postal18152Madrid, ES, 28080",Archinect,Architecture / Design Firm,,False
dpr-barcelona,x,x,http://www.dpr-barcelona.com/,See all...,Archinect,Architecture / Design Firm,,False
DelaVegaCanolasso,x,x,x,x,Archinect,Architecture / Design Firm,,False
Lacol,x,x,x,x,Archinect,Architecture / Design Firm,,False
Cristina Beltrán Arquitectos,+34910282758,info@cristinabeltran.com,https://www.cristinabeltranarquitectos.com,"Paseo de la Castellana 141Madrid, ES, 28046",Archinect,Architecture / Design Firm,,False
Construcción y Reformas en Madrid,+34910282758,info@cristinabeltran.com,https://www.construccionyreformasmadrid.com,"Paseo de la Castellana 141Madrid, ES, 28046",Archinect,Architecture / Design Firm,,False
LOBO STUDIO,+34 616 037 876,hola@lobostudio.es,https://lobostudio.es/,"Diputació 37 interior2ABarcelona, ES, 08015",Archinect,Architecture / Design Firm,,False
HWCD,x,x,https://archinect.com/firms/cover/150245019/hwcd,"Barcelona, ES",Archinect,Architecture / Design Firm,,False
Romero & Vallejo,x,x,https://archinect.com/firms/cover/150239786/romero-vallejo,"Toledo, ES",Archinect,Architecture / Design Firm,,False
Map13 Barcelona,x,x,https://archinect.com/firms/cover/150232057/map13-barcelona,"Barcelona, ES",Archinect,Architecture / Design Firm,,False
Openact Architecture,x,x,https://archinect.com/firms/cover/150172854/openact-architecture,"Madrid, ES",Archinect,Architecture / Design Firm,,False
m²ft architects,x,x,https://archinect.com/firms/cover/150164381/m-ft-architects,"Madrid, ES",Archinect,Architecture / Design Firm,,False
HUSOS,x,estudio@husos.info / plataforma@husos.info,http://www.husos.info/,www.husos.info,Archinect,Architecture / Design Firm,,False
addenda architects,x,x,x,x,Archinect,Architecture / Design Firm,,False
Mano de Santo arquitectos,x,x,https://archinect.com/firms/cover/150120417/mano-de-santo-arquitectos,"Valencia, ES",Archinect,Architecture / Design Firm,,False
Julio Barreno Arquitecto,x,x,https://www.juliobarreno.es/,https://www.juliobar...,Archinect,Architecture / Design Firm,,False
OAB - Office of Architecture in Barcelona,x,x,https://archinect.com/firms/cover/150074849/oab-office-of-architecture-in-barcelona,"Barcelona, ES",Archinect,Architecture / Design Firm,,False
Flores & Prats,x,x,x,x,Archinect,Architecture / Design Firm,,False
Aranguren + Gallegos Arquitectos,x,x,x,x,Archinect,Architecture / Design Firm,,False
NUA,x,x,http://www.nuaarquitectures.com/studio/,"C/Baixada de Toro 5Tarragona, ES",Archinect,Architecture / Design Firm,,False
YEAH,x,info@yeaharchitects.com,http://www.yeaharchitects.com/home.html,"Paseo de La Reforma 368Mexico, MX, 06600",Archinect,Architecture / Design Firm,,False
Estudio Barozzi Veiga,x,x,x,x,Archinect,Architecture / Design Firm,,False
"TAAs, totem arquitectos asociados",x,oficina@totemarquitectos.com,http://www.totemarquitectos.com,www.totemarquitectos...,Archinect,Architecture / Design Firm,,False
Aldayjover arquitectos,x,x,x,x,Archinect,Architecture / Design Firm,,False
Iñaqui Carnicero Architecture Office,x,x,x,x,Archinect,Architecture / Design Firm,,False
Menis Architects,x,x,x,x,Archinect,Architecture / Design Firm,,False
A-Cero,x,x,x,x,Archinect,Architecture / Design Firm,,False
Teodoro Ríos Sola,x,x,x,x,Archinect,Architecture / Design Firm,,False
AV62 Architects,x,x,x,x,Archinect,Architecture / Design Firm,,False
Mario Corea Arquitectura,x,x,https://archinect.com/firms/cover/54102624/mario-corea-arquitectura,"Barcelona, ES",Archinect,Architecture / Design Firm,,True
AQA_RCHITECTURE,x,x,https://archinect.com/aqa_rchitecture,"Valencia, ES",Archinect,Architecture / Design Firm,,False
MAKA GREEN BCN,x,x,https://archinect.com/firms/cover/37198156/maka-green-bcn,"Barcelona, ES",Archinect,Architecture / Design Firm,,False
Emiliano López Mónica Rivera Arquitectos,x,x,x,x,Archinect,Architecture / Design Firm,,False
"Jose Rafael Moneo, Arquitecto",x,x,x,x,Archinect,Architecture / Design Firm,,False
Ignacio Blanco & Asociados Architectural Office,x,x,x,x,Archinect,Architecture / Design Firm,,False
Ecosistema Urbano,x,x,https://archinect.com/ecosistemaurbano,See all...,Archinect,Architecture / Design Firm,,False
Salvador Pérez Arroyo architecture office,x,x,x,x,Archinect,Architecture / Design Firm,,False
"Campos & Pradel, architecture & design",x,x,x,x,Archinect,Architecture / Design Firm,,False
Arquitectura Oscar Tusquets Blanca,x,x,x,x,Archinect,Architecture / Design Firm,,False
dna arquitectos,x,x,x,x,Archinect,Architecture / Design Firm,,False
JORGE CAPUTO ARQUITECTOS,x,x,x,x,Archinect,Architecture / Design Firm,,False
INMOBILIARIA BILBAO VIZCAYA,x,x,x,x,Archinect,Architecture / Design Firm,,False
Nieto Sobejano Arquitectos,x,x,x,x,Archinect,Architecture / Design Firm,,False
Bardón/Cornadó Arquitectes,x,x,x,x,Archinect,Architecture / Design Firm,,False
Cjcpaisaje,+ 34 615871733,info@cjcpaisaje.com,https://cristinajorgecamacho.com/,"Velázquez 26MadridMadrid, ES, 28001",Archinect,Architecture / Design Firm,,False
reformas carmona,x,carmonajimenez@yahoo.es,https://www.construccionesreformasmadrid.es/,https://www.construc...,Archinect,Architecture / Design Firm,,False
Visarton,+34911235991,info@visarton.com,https://visarton.com,"Calle de Torpedero TucumanMadrid, ES, 28016",Archinect,Architecture / Design Firm,,False
Mural Graffiti,x,x,https://muralgraffiti.es,https://muralgraffit...,Archinect,Architecture / Design Firm,,False
Nuovvo,x,x,https://www.nuovvo.com/,https://www.nuovvo.c...,Archinect,Architecture / Design Firm,,False
